pilar;actions;examples;unify_examples
Architecture of Learning;1. LEARNING GOALS;The cell (Jazmin);NA
Architecture of Learning;1. LEARNING GOALS;Brainstorming - Global warming - Women's day;NA
Architecture of Learning;1. LEARNING GOALS;Personal projects;NA
Architecture of Learning;1. LEARNING GOALS;Portafolio making;NA
Architecture of Learning;1. LEARNING GOALS;"Self-organizing e.g. ""caba¤as""";NA
Architecture of Learning;1. LEARNING GOALS;Team-work;NA
Architecture of Learning;1. LEARNING GOALS;Crop garden - Compost;NA
Architecture of Learning;1. LEARNING GOALS;Bee-friandly school project;NA
Architecture of Learning;1. LEARNING GOALS;99 questions 99 proposals;NA
Architecture of Learning;1. LEARNING GOALS;Women scientists project;NA
Architecture of Learning;1. LEARNING GOALS;Role-playng (Ane);NA
Architecture of Learning;2. DIMENSIONS OF LEARNING;free play (juego libre);NA
Architecture of Learning;2. DIMENSIONS OF LEARNING;Stop-motion films (Ale);NA
Architecture of Learning;2. DIMENSIONS OF LEARNING;Art workshop;NA
Architecture of Learning;2. DIMENSIONS OF LEARNING;Community working days to fix the school;NA
Architecture of Learning;2. DIMENSIONS OF LEARNING;Montesori material;NA
Architecture of Learning;2. DIMENSIONS OF LEARNING;Active learning material;NA
Architecture of Learning;2. DIMENSIONS OF LEARNING;Bank;NA
Architecture of Learning;2. DIMENSIONS OF LEARNING;Football game cards;NA
Architecture of Learning;2. DIMENSIONS OF LEARNING;Music band;NA
Architecture of Learning;2. DIMENSIONS OF LEARNING;Gymnastics offered by Jazmin class;NA
Architecture of Learning;2. DIMENSIONS OF LEARNING;Communal breakfasts;NA
Architecture of Learning;2. DIMENSIONS OF LEARNING;Students feed-back loop from projects ;NA
Architecture of Learning;2. DIMENSIONS OF LEARNING;Personal projects;NA
Architecture of Learning;2. DIMENSIONS OF LEARNING;Christmas carol;NA
Architecture of Learning;2. DIMENSIONS OF LEARNING;Art from recycled stuff.;NA
Architecture of Learning;3. ASSESSMENT FOR, OF AND AS LEARNING;Montesori material;NA
Architecture of Learning;3. ASSESSMENT FOR, OF AND AS LEARNING;School reports for parents;NA
Architecture of Learning;3. ASSESSMENT FOR, OF AND AS LEARNING;Students diaries;NA
